productID,model,color,gpu,cpu,ram,harddisk,OS,special_features,price
48,"MICROSOFT SURFACE LAPTOP 12"" 12.45 INCHES",PLATINUM,"INTEGRATED, INTEL UHD GRAPHICS",CORE I5-1035G1 / 3.6 GHZ, 4 GB,,WINDOWS 10 S,,269.99
49,MSI Pulse 15 B13VFK-1263US 15.6 Inches,Black,"Dedicated, NVIDIA GeForce RTX 4060",Core i7, 32 GB,1 TB,Windows 11 Pro,,1499.00
50,Dell 7400 14 Inches,,"Integrated, Intel UHD Graphics 620",Core i7 Family,16 GB,256 GB,Windows 10 Pro,premium business-class notebook,1549.00
51,HP HP ENVY 14 INCHES,,"INTEGRATED, INTEL HD GRAPHICS 520",CORE I3, 8 GB,1 TB,WINDOWS 10,"BACKLIT KEYBOARD,FINGERPRINT READER",587.99
52,DELL LATITUDE 5520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I7, 32 GB,512 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,1819.99
53,Dell Latitude 13.3 Inches,,Integrated,Core i5,8 GB,256 GB,Windows 11 Pro,Information Not Available,1129.99
54,Lenovo Yoga 3 80JH0025US 14 Inches,Black,"Integrated, Dedicated, Intel HD Graphics 5500",Core i5,8 GB ,256 GB,Windows 8.1,,699.00
55,Dell G15 5521 Laptop 15.6 Inches,Black,"Integrated, NVIDIA GeForce RTX 3070 Ti",Core i9, 16 GB,1000 GB,Windows 11 Home,,1827.99
56,Dell Vostro 3510 Laptop 15.6 Inches,Black,Integrated,Core i5,32 GB,2000 GB,Windows 11 Home,Wifi & Bluetooth,877.99
57,Dell Latitude 5420 Laptop 14 Inches,Black,Integrated,Core i5, 16 GB,512 GB,Windows 10 Home,Wifi & Bluetooth,807.99
58,ACER,,INTEGRATED,UNKNOWN,16 GB,,"WINDOWS 11 PRO, WINDOWS",,696.34
59,Dell Dell 5000 16 Inches,Platinum Silver,Integrated,Ryzen 7, 64 GB,4 TB,Windows 11 Pro,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",1317.06
60,Dell Latitude 9420 2-in-1 14 Inches,Black,Integrated,Core i7,16 GB,256 GB,Windows 10 Home,Wifi & Bluetooth,3458.99
61,HP PROBOOK 445 G9 14 INCHES,,"RADEON GRAPHICS, AMD RADEON GRAPHICS",RYZEN 7,16 GB,256 GB,WINDOWS 10 PRO,ANTI-GLARE SCREEN,971.99
62,Dell Inspiron 3511 Laptop 15.6 Inches,Black,Integrated,Core i5,16 GB,128 GB,Windows 10 Home,Wifi & Bluetooth,633.99
63,LG GRAM 16 PRO 16 INCHES,BLACK,DEDICATED,CORE I7 FAMILY,32 GB ,8 TB,WINDOWS 10 HOME,"HD AUDIO, BACKLIT KEYBOARD, ANTI GLARE COATING, MEMORY CARD SLOT, NUMERIC KEYPAD",2489.99
64,Lenovo ThinkBook 14 Gen 4 14 Inches,Mineral Grey,Integrated,Core i7 Family, 16 GB,2 TB,Windows 11 Pro,Anti-glare,1199.00
65,DELL ALIENWARE M18 RYZEN EDITION LAPTOP 18 INCHES,BLACK,NVIDIA GEFORCE RTX 4080,AMD RYZEN 7,64 GB ,2000 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,2728.74
66,DELL LATITUDE 3420 LAPTOP 14 INCHES,BLACK,INTEGRATED,CORE I7,8 GB,1000 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,840.99
67,HP Chromebook 14 G7 14 Inches,Black,"UHD Graphics, Intel UHD Graphics",Celeron, 8 GB,,Chrome OS,Anti-glare Screen,332.88
68,DELL ALIENWARE M16 RYZEN EDITION LAPTOP 16 INCHES,SILVER,NVIDIA GEFORCE RTX 4090,AMD RYZEN 7,16 GB ,512 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,3007.99
69,Dell Latitude 5520 Laptop 15.6 Inches,Black,Integrated,Core i7, 32 GB,8000 GB,Windows 10 Home,Wifi & Bluetooth,3004.99
70,Dell Vostro 7620 Laptop 16 Inches,Black,Nvidia GeForce RTX 3050,Core i7,40 GB,4000 GB,Windows 11 Pro,Wifi & Bluetooth,1512.99
71,Lenovo ThinkPad T14 Gen 1 14 Inches,Black,Integrated,Ryzen 5,24 GB ,1 TB,Windows 11 Home,"Fingerprint Reader, TrackPoint, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",899.00
72,DELL LATITUDE 6330 13.3 INCHES,METALLIC GRAY,INTEL HD GRAPHICS 4000,CORE I5,,500 GB,WINDOWS 7 PROFESSIONAL,ANTI-GLARE,289.95
73,DELL LATITUDE 5520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I7,32 GB,512 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,2446.99
74,LENOVO IDEAPAD 3I 15.6 INCHES,GRAY,INTEGRATED,INTEL CORE I5-1135G7,8 GB,512 GB,WINDOWS 11,HD,485.00
75,DELL LATITUDE 5531 15.6 INCHES,,INTEGRATED,CORE I7 / 4.8 GHZ,64 GB,1 TB,WINDOWS 11 PRO,ANTI GLA,1786.59
76,Dell Latitude 5520 Laptop 15.6 Inches,Black,Integrated,Core i5,4 GB,512 GB,Windows 11 Home,Wifi & Bluetooth,891.88
77,Dell Vostro 7620 Laptop 16 Inches,Black,Nvidia GeForce RTX 3050,Core i7, 40 GB,4000 GB,Windows 11 Home,Wifi & Bluetooth,1513.50
78,GATEWAY 14 INCHES,BLACK,"INTEGRATED, INTEL",CELERON N4020 / 1.1 GHZ,4 GB,64 GB,"WINDOWS 10 S, WINDOWS 10",,169.99
79,Lenovo Lenovo ThinkPad 14 Inches,,"Integrated, Intel HD Graphics 620",1.2GHz Cortex A8 Processor, 8 GB,512 GB,Windows 10,"Anti-glare,Fingerprint Reader",499.00
80,LENOVO THINKPAD X1 CARBON GEN 10 14 INCHES,BLACK,IRIS XE GRAPHICS,CORE I7, 16 GB,512 GB,WINDOWS 11,ANTI-GLARE SCREEN,2079.99
81,DELL DELL PRECISION 5560 15 INCHES,BLACK,UNKNOWN,INTEL CORE I7,32 GB ,,NO,,1999.95
82,DELL LATITUDE 5520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I5,16 GB,256 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,878.37
83,Panasonic Panasonic Toughbook 13.1 Inches,silver/black,Integrated,Core i5,4 GB,250 GB,Windows 7,Water Proof,299.95
84,DELL ALIENWARE M16 LAPTOP 16 INCHES,BLACK,"DEDICATED, NVIDIA GEFORCE RTX 4060",CORE I7,64 GB,1000 GB,WINDOWS 11 HOME,,2100.22
85,acer SF514-56T-797T 14 Inches,Green,"Integrated, Intel Iris Xe Graphics",Core i7,16 GB,1 TB,Windows 11 Home,,1406.88
86,DELL XPS 9530 LAPTOP 15.6 INCHES,PLATINUM SILVER,NVIDIA GEFORCE RTX 4070,CORE I9,64 GB,1000 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,3178.99
87,Dell Precision 3000 14 Inches,,"Iris Xe Graphics, Intel Iris Xe Graphics",Core i7,32 GB ,512 GB,Windows 11 Pro,Anti-glare Screen,1668.53
88,ASUS ASUS VivoBook 14 Inches,Silver,Integrated,Celeron, 4 GB,64 GB,Windows 10 Home,Stylus,325.00
89,Gigabyte A5 X1-CUS2130SB 15.6 Inches,Black,Dedicated,AMD Ryzen 9 5900X,16 GB,512 GB,Windows 11 Home,"Anti-glare,Thin Bezel",1749.00
90,DELL INSPIRON 16 16 INCHES,GREEN,INTEGRATED,CORE I7 12700H,40 GB,1 TB,WINDOWS 11 HOME,"ANTI-GLARE,BACKLIT KEYBOARD",1096.99
91,DELL INSPIRON 3511 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I5, 16 GB,256 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,645.61
92,LENOVO P15 15.6 INCHES,BLACK,INTEGRATED,CORE I7, 16 GB,1 TB,WINDOWS 10 PRO,"ANTI-GLARE,FINGERPRINT",1539.77
93,DELL XPS 9510 LAPTOP 15.6 INCHES,PLATINUM SILVER,NVIDIA GEFORCE GTX 1650 TI,CORE I9, 32 GB,8000 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,4399.64
94,Dell Dell Inspiron 15 3520 15.6 Inches,Black,"Integrated, Intel Iris Xe Graphics",Core i7,16 GB ,512 GB,Windows 11 Home,,809.00
95,acer Acer Chromebook 11.6 Inches,Silver,Integrated,MediaTek MT8183, 32 GB,32 GB,Chrome OS,HD Audio,204.95
96,Dell Latitude 7320 2-in-1 13.3 Inches,Black,Integrated,Core i5,8 GB ,256 GB,Windows 10 Pro,Wifi & Bluetooth,783.16
97,Dell XPS 9530 Laptop 15.6 Inches,Platinum Silver,Nvidia GeForce RTX 4070,Core i7, 16 GB,512 GB,Windows 11 Pro,Wifi & Bluetooth,2572.05
98,DELL G15 15.6 INCHES,PHANTOM GREY WITH SPECKLES,DEDICATED,AMD R SERIES, 16 GB,512 GB,WINDOWS 10 HOME,BACKLIT KEYBOARD,1332.99
99,LENOVO IDEAPAD 3 15ITL05 15.6 INCHES,PLATINUM GREY,INTEGRATED,CORE I3 FAMILY,8 GB,256 GB,WINDOWS 11,ANTI-GLARE,389.00
100,Dell Alienware m18 Ryzen Edition Laptop 18 Inches,Black,Nvidia GeForce RTX 4090,AMD Ryzen 7,16 GB,1000 GB,Windows 11 Home,Wifi & Bluetooth,2954.63
101,HP HP OMEN 15.6 INCHES,BLACK,DEDICATED,COREI7-10750H,16 GB,512 GB,WINDOWS 10,ANTI-GLARE,1999.00
102,DELL DELL INSPIRON 15 3525 LAPTOP 15.6 INCHES,BLACK,"INTEGRATED, AMD RADEON",RYZEN 7, 64 GB,2 TB,WINDOWS 11 HOME,,971.04
103,Dell Latitude 14 Inches,Gray,"Integrated, Intel Iris Xe Graphics",Intel Core i5 1145G7,16 GB ,512 GB,Windows 11 Pro,,801.99
104,Dell Latitude 5520 Laptop 15.6 Inches,Black,Integrated,Core i7,16 GB,256 GB,Windows 10 Home,Wifi & Bluetooth,2366.99
105,Dell Precision 5760 Laptop 17 Inches,Silver,Nvidia RTX A2000,Core i7, 64 GB,2000 GB,Windows 11 Pro,Wifi & Bluetooth,3179.99
106,MSI STEALTH GS66 12UGS-025 15.6 INCHES,CORE BLACK,"DEDICATED, NVIDIA GEFORCE RTX 3070",INTEL CORE I9 / 1.8 GHZ,32 GB,,WINDOWS 11 HOME,,1699.00
107,DELL XPS 17 INCHES,PLATINUM SILVER,GEFORCE GTX 1650 TI,CORE I7 FAMILY,32 GB ,512 GB,WINDOWS 10,"ANTI-GLARE,BACKLIT KEYBOARD,FINGERPRINT READER",2599.00
108,MSI MODERN 14 B11MOU-1024 14 INCHES,CARBON GRAY,INTEGRATED,CORE I5,8 GB,512 GB,WIN 11 MULTI-HOME,THIN BEZEL,589.99
109,ACER,,"INTEGRATED, AMD RADEON VEGA 3",UNKNOWN,4 GB,32 GB,CHROME OS,,221.41
110,Dell Latitude 5430 Laptop 14 Inches,Black,"Integrated, Intel Integrated Graphics",Core i7, 32 GB,1000 GB,Windows 11 Pro,,1046.99
111,DELL VOSTRO 7620 LAPTOP 16 INCHES,BLACK,NVIDIA GEFORCE RTX 3050 TI,CORE I7, 40 GB,1000 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,1297.89
112,acer 14 Inches,Pure Silver,"Integrated, Intel Iris Xe Graphics",1.7 GHz,16 GB,512 GB,Windows 11 Home,,599.99
113,Dell Latitude 5440 Laptop 14 Inches,Black,Integrated,Core i5, 16 GB,256 GB,Windows 10 Pro,Wifi & Bluetooth,934.67
114,Dell Latitude 3520 Laptop 15.6 Inches,Black,Integrated,Core i5,16 GB ,8000 GB,Windows 10 Home,Wifi & Bluetooth,1887.38
115,Dell Latitude 5420 Laptop 14 Inches,Black,Integrated,Core i7, 32 GB,2000 GB,Windows 10 Home,Wifi & Bluetooth,1137.99
116,LENOVO W530 15.6 INCHES,BLACK,"INTEGRATED, DEDICATED, INTEL HD GRAPHICS 4000",CORE I7-3720QM / 2.7 GHZ,,500 GB,WINDOWS 7 PROFESSIONAL,,377.30
117,Dell Latitude 7420 2-in-1 14 Inches,Black,Integrated,Core i7,32 GB,1000 GB,Windows 10 Home,Wifi & Bluetooth,3869.99
118,LENOVO 13.3 INCHES,,"INTEGRATED, INTEL UHD GRAPHICS 620",UNKNOWN,16 GB,,WINDOWS 10 HOME,,1129.99
119,DELL G15 15.6 INCHES,,RTX 3050,CORE I5 / 2.6 GHZ, 8 GB,256 GB,WINDOWS 11 HOME,,760.99
120,DELL INSPIRON 3511 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I5,64 GB,2000 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,821.99
121,DELL LATITUDE 5330 13.3 INCHES,,"INTEGRATED, INTEL IRIS XE GRAPHICS",CORE I7 FAMILY,16 GB,512 GB,WINDOWS 11 PRO,ANTI-GLARE,1699.00
122,Dell Inspiron 5410 Laptop 14 Inches,"Grey, Platinum Silver",Integrated,Core i7,4 GB ,128 GB,Windows 10 Pro,Wifi & Bluetooth,968.99
123,DELL LATITUDE 5520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I7,32 GB,4000 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,2494.99
124,Dell Precision 5000 14 Inches,Mist Blue,RTX A1000,Core i7,16 GB ,512 GB,Windows 11 Pro,Anti-glare Screen,1770.16
125,DELL PRECISION 15.6 INCHES,BLACK,"DEDICATED, RADEON PRO WX VEGA M GL",CORE I7 FAMILY, 16 GB,512 GB,WINDOWS 10,,1399.95
126,Dell Inspiron 5510 Laptop 15.6 Inches,"Gray, Platinum Silver",Integrated,Core i7, 16 GB,1000 GB,Windows 11 Pro,Wifi & Bluetooth,1071.00
127,IVIEW IVIEW-1430NB 14.1 Inches,Black,"Integrated, Embedded",Celeron N3350,4 GB ,64 GB,Windows 10,,189.95
128,HP HP Envy 14 Inches,,"Integrated, Intel Iris Xe Graphics",Core i5,8 GB,,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",629.49
129,Lenovo ThinkPad T14 Gen 2 14 Inches,Black,"Radeon Graphics, AMD Radeon Graphics",Unknown, 16 GB,512 GB,Windows 10 Pro,Anti-glare Screen,1049.00
130,LG LG GRAM 17 INCHES,,"INTEGRATED, INTEL IRIS XE GRAPHICS ELIGIBLE INTEGRATED",CORE I7 / 3.7 GHZ,16 GB,512 GB,WINDOWS 11 PRO,,1199.00
131,Dell Inspiron 3511 Laptop 15.6 Inches,Black,Integrated,Core i5, 32 GB,4000 GB,Windows 10 Home,Wifi & Bluetooth,955.99
132,Dell Latitude 7320 Laptop 13.3 Inches,Black,Integrated,Core i5,16 GB,256 GB,Windows 10 Home,Wifi & Bluetooth,683.99
133,Dell Inspiron 3511 15.6 Inches,,"Integrated, Intel UHD Graphics",Core i5 / 1 GHz, 16 GB,512 GB,Windows 10 Pro,,681.61
134,Dell XPS 9520 Laptop 15.6 Inches,Platinum Silver,"Dedicated, NVIDIA GeForce RTX 3050",Core i7, 16 GB,512 GB,Windows 11 Pro,,1657.99
135,DELL ALIENWARE M18 LAPTOP 18 INCHES,BLACK,"INTEGRATED, NVIDIA GEFORCE RTX 4070",CORE I9,64 GB ,512 GB,WINDOWS 11 HOME,,2693.24
136,HP Elite Dragonfly 13.3 Inches,Blue,"Integrated, Intel UHD Graphics 620",Intel Core i5 / 1.6 GHz,16 GB,,Windows 10 Pro,,2299.00
137,Dell Dell XPS 15 9520 15.6 Inches,Silver,"Dedicated, NVIDIA GeForce RTX 3050 Ti",Core i7, 16 GB,512 GB,Windows 11 Pro,,1637.99
138,HP SPECTRE X360 15.6 INCHES,,"INTEGRATED, INTEL IRIS XE GRAPHICS",CORE I7, 16 GB,512 GB,WINDOWS 11 HOME,"FINGERPRINT,PEN",2299.00
139,DELL INSPIRON 3502 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CELERON,12 GB ,512 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,890.37
140,HP HP 14 INCHES,SILVER,"INTEGRATED, INTEL HD GRAPHICS 620",1.2GHZ CORTEX A8 PROCESSOR, 8 GB,1 TB,WINDOWS 10,,379.00
141,Dell Latitude 5430 Laptop 14 Inches,Black,"Integrated, Intel Integrated Graphics",Core i7, 32 GB,512 GB,Windows 11 Pro,,998.99
142,Dell Latitude 5410 14 Inches,,"Integrated, Intel UHD Graphics",Core i7 / 1.8 GHz,64 GB ,2 TB,Windows 10 Pro,,1616.96
143,Gigabyte AERO 17 XE5-73US738HP 17.3 Inches,Silver,"Dedicated, NVIDIA GeForce RTX 3070 Ti",Intel Core i7,16 GB,2 TB,Windows 11 Pro,,2999.00
144,ASUS Vivobook S 16 Flip 16 Inches,Midnight Black,Integrated,Ryzen 5,8 GB,512 GB,Windows 11 Home,Fingerprint Sensor,699.99
145,APPLE 16.2 INCHES,,INTEGRATED,APPLE M2 MAX / 3.6 GHZ,64 GB,2 TB,MAC OS,BACKLIT KEYBOARD,4079.99
146,HP Omen 17T-CK200 17.3 Inches,Shadow Black,Dedicated,Intel Core i9,64 GB,8 TB,Windows 11 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",4339.00
147,MSI GF63 Thin 15.6 Inches,Black,Dedicated,Unknown,8 GB,256 GB,Windows 10,Anti Glare Coating,600.51
148,DELL INSPIRON 16 5620 16 INCHES,PLATINUM SILVER,DEDICATED,CORE I7 FAMILY, 16 GB,2 TB,WINDOWS 10 HOME,"FINGERPRINT READER, HD AUDIO, BACKLIT KEYBOARD, ANTI GLARE COATING, MEMORY CARD SLOT",1479.00
149,HP 15-dy2035tg 15.6 Inches,Silver,Integrated,Core i3,8 GB,256 GB,Windows 10 S,"Anti-glare,Fingerprint Reader",423.99
150,HP ZBook Fury G9 16 Inches,,"RTX A2000,UHD Graphics, NVIDIA Intel RTX A2000 UHD Graphics",Core i7,32 GB,1 TB,Windows 11 Pro,Anti-glare Screen,3196.99
151,DELL XPS 9530 LAPTOP 15.6 INCHES,PLATINUM SILVER,INTEL ARC A370M,CORE I7, 16 GB,512 GB,WINDOWS 11 PRO,WIFI & BLUETOOTH,1710.99
152,LENOVO 130-15AST 15.6 INCHES,BLACK,"DEDICATED, AMD RADEON R5",AMD A SERIES,4 GB,128 GB,WINDOWS 10 HOME,,399.99
153,JTD FIRE 15.6 INCHES,,"DEDICATED, RTX 3080",RYZEN 9, 32 GB,2 TB,WINDOWS 10 PRO,FINGERPRINT,2889.99
154,HP CHROMEBOOK 11 G9 EE 11.6 INCHES,BLACK,"UHD GRAPHICS, INTEL UHD GRAPHICS",CELERON,4 GB ,,CHROME OS,ANTI-GLARE SCREEN,240.74
155,DELL LATITUDE 3520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I5,16 GB ,2000 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,994.35
156,Dell Alienware X17 R2 Laptop 17.3 Inches,Lunar Light,"Dedicated, NVIDIA GeForce RTX 3080",Core i9,32 GB,1000 GB,Windows 11 Home,,2738.99
157,DELL LATITUDE 3520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I5,32 GB,2000 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,1032.65
