Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39,5
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7
875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3
891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5
319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87,8
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34,3
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,12.54,1
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2
836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,90.7,6
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,84.09,9
269-04-5750,B,Mandalay,Member,Male,Fashion accessories,73.82,4
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,44.22,5
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22,5
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9
448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2
142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories,93.2,2
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8
866-05-7563,B,Mandalay,Member,Female,Electronic accessories,81.4,3
604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4
785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06,7
845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9
662-47-5456,C,Naypyitaw,Member,Male,Fashion accessories,35.19,10
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8
110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62,4
366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1
729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6
151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4
380-94-4661,C,Naypyitaw,Member,Male,Electronic accessories,65.94,4
850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06,9
821-07-3596,C,Naypyitaw,Normal,Female,Fashion accessories,16.45,4
655-85-5130,B,Mandalay,Member,Female,Fashion accessories,38.3,4
447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24,10
154-74-7179,B,Mandalay,Normal,Male,Sports and travel,54.45,1
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7
808-65-0703,C,Naypyitaw,Normal,Male,Home and lifestyle,35.47,4
571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,10
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10
783-09-1637,B,Mandalay,Normal,Female,Sports and travel,67.43,5
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2
477-24-6490,B,Mandalay,Normal,Female,Health and beauty,99.71,6
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,7
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4
537-72-0426,C,Naypyitaw,Member,Male,Fashion accessories,70.99,10
828-61-5674,A,Yangon,Member,Male,Sports and travel,44.02,10
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle,37,1
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1
667-92-0055,A,Yangon,Member,Male,Health and beauty,99.83,6
565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67,4
498-41-1961,B,Mandalay,Normal,Male,Health and beauty,66.68,5
593-95-4461,C,Naypyitaw,Member,Male,Home and lifestyle,74.86,1
226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75,9
283-79-9594,B,Mandalay,Normal,Female,Food and beverages,48.51,7
430-60-3493,A,Yangon,Member,Female,Home and lifestyle,94.88,7
139-20-0155,B,Mandalay,Member,Male,Electronic accessories,40.3,10
558-80-4082,C,Naypyitaw,Normal,Male,Electronic accessories,27.85,7
278-97-7759,A,Yangon,Member,Female,Electronic accessories,62.48,1
316-68-6352,A,Yangon,Member,Female,Food and beverages,36.36,2
585-03-5943,B,Mandalay,Normal,Male,Health and beauty,18.11,10
211-05-0490,C,Naypyitaw,Member,Female,Electronic accessories,51.92,5
727-75-6477,C,Naypyitaw,Normal,Male,Electronic accessories,28.84,4
744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38,6
307-83-9164,A,Yangon,Member,Male,Home and lifestyle,60.01,4
779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle,88.61,1
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2
573-10-3877,B,Mandalay,Member,Male,Health and beauty,39.01,1
735-06-4124,C,Naypyitaw,Normal,Male,Food and beverages,48.61,1
439-54-7422,A,Yangon,Normal,Female,Electronic accessories,51.19,4
396-90-2219,B,Mandalay,Normal,Female,Electronic accessories,14.96,8
411-77-0180,A,Yangon,Member,Male,Electronic accessories,72.2,7
286-01-5402,A,Yangon,Normal,Female,Sports and travel,40.23,7
803-17-8013,A,Yangon,Member,Female,Home and lifestyle,88.79,8
512-98-1403,A,Yangon,Member,Female,Electronic accessories,26.48,3
848-42-2560,A,Yangon,Normal,Female,Fashion accessories,81.91,2
532-59-7201,B,Mandalay,Member,Male,Sports and travel,79.93,6
181-94-6432,C,Naypyitaw,Member,Male,Fashion accessories,69.33,2
870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23,5
423-64-4619,A,Yangon,Member,Female,Health and beauty,15.55,9
227-07-4446,C,Naypyitaw,Member,Female,Electronic accessories,78.13,10
174-36-3675,C,Naypyitaw,Member,Male,Food and beverages,99.37,2
428-83-5800,C,Naypyitaw,Member,Female,Food and beverages,21.08,3
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79,5
704-20-4138,C,Naypyitaw,Member,Female,Health and beauty,29.67,7
787-15-1757,C,Naypyitaw,Member,Male,Health and beauty,44.07,4
649-11-3678,C,Naypyitaw,Normal,Female,Food and beverages,22.93,9
622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty,39.42,1
372-94-8041,A,Yangon,Normal,Male,Health and beauty,15.26,6
563-91-7120,A,Yangon,Normal,Female,Fashion accessories,61.77,5
746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52,6
276-54-0879,B,Mandalay,Normal,Male,Sports and travel,97.74,4
815-11-1168,A,Yangon,Member,Male,Food and beverages,99.78,5
719-76-3868,C,Naypyitaw,Member,Male,Food and beverages,94.26,4
730-61-8757,B,Mandalay,Member,Male,Health and beauty,51.13,4
340-66-0321,A,Yangon,Member,Male,Electronic accessories,36.36,4
868-81-1752,B,Mandalay,Normal,Male,Home and lifestyle,22.02,9
634-97-8956,A,Yangon,Normal,Male,Food and beverages,32.9,3
566-71-1091,A,Yangon,Normal,Male,Fashion accessories,77.02,5
442-48-3607,A,Yangon,Member,Male,Food and beverages,23.48,2
835-16-0096,C,Naypyitaw,Member,Male,Sports and travel,14.7,5
527-09-6272,A,Yangon,Member,Female,Electronic accessories,28.45,5
898-04-2717,A,Yangon,Normal,Male,Fashion accessories,76.4,9
692-27-8933,B,Mandalay,Normal,Female,Sports and travel,57.95,6
633-09-3463,C,Naypyitaw,Normal,Female,Electronic accessories,47.65,3
374-17-3652,B,Mandalay,Member,Female,Food and beverages,42.82,9
378-07-7001,B,Mandalay,Member,Male,Electronic accessories,48.09,3
433-75-6987,B,Mandalay,Member,Female,Health and beauty,55.97,7
873-95-4984,B,Mandalay,Member,Female,Health and beauty,76.9,7
416-13-5917,C,Naypyitaw,Normal,Female,Food and beverages,97.03,5
150-89-8043,A,Yangon,Normal,Male,Sports and travel,44.65,3
135-84-8019,A,Yangon,Normal,Female,Fashion accessories,77.93,9
441-94-7118,A,Yangon,Member,Male,Electronic accessories,71.95,1
725-96-3778,C,Naypyitaw,Member,Female,Home and lifestyle,89.25,8
531-80-1784,A,Yangon,Normal,Male,Electronic accessories,26.02,7
400-45-1220,B,Mandalay,Normal,Female,Health and beauty,13.5,10
860-79-0874,C,Naypyitaw,Member,Female,Fashion accessories,99.3,10
834-61-8124,A,Yangon,Normal,Male,Electronic accessories,51.69,7
115-99-4379,B,Mandalay,Member,Female,Fashion accessories,54.73,7
565-67-6697,B,Mandalay,Member,Male,Home and lifestyle,27,9
320-49-6392,C,Naypyitaw,Normal,Female,Electronic accessories,30.24,1
889-04-9723,B,Mandalay,Member,Female,Food and beverages,89.14,4
632-90-0281,C,Naypyitaw,Normal,Female,Fashion accessories,37.55,10
554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,95.44,10
453-63-6187,B,Mandalay,Normal,Male,Electronic accessories,27.5,3
578-80-7669,B,Mandalay,Normal,Male,Sports and travel,74.97,1
612-36-5536,A,Yangon,Member,Male,Food and beverages,80.96,8
605-72-4132,C,Naypyitaw,Normal,Female,Food and beverages,94.47,8
471-41-2823,C,Naypyitaw,Normal,Male,Food and beverages,99.79,2
462-67-9126,A,Yangon,Normal,Male,Home and lifestyle,73.22,6
272-27-9238,C,Naypyitaw,Normal,Female,Food and beverages,41.24,4
834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,81.68,4
122-61-9553,C,Naypyitaw,Normal,Female,Electronic accessories,51.32,9
468-88-0009,A,Yangon,Member,Male,Home and lifestyle,65.94,4
613-59-9758,C,Naypyitaw,Normal,Female,Sports and travel,14.36,10
254-31-0042,A,Yangon,Member,Male,Electronic accessories,21.5,9
201-86-2184,B,Mandalay,Member,Female,Electronic accessories,26.26,7
261-12-8671,B,Mandalay,Normal,Female,Fashion accessories,60.96,2
730-70-9830,C,Naypyitaw,Normal,Female,Home and lifestyle,70.11,6
382-25-8917,C,Naypyitaw,Normal,Male,Fashion accessories,42.08,6
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09,5
667-23-5919,A,Yangon,Member,Female,Fashion accessories,96.7,5
843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,35.38,9
743-88-1662,C,Naypyitaw,Normal,Male,Sports and travel,95.49,7
595-86-2894,C,Naypyitaw,Member,Male,Fashion accessories,96.98,4
182-69-8360,B,Mandalay,Normal,Female,Electronic accessories,23.65,4
289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33,4
462-78-5240,C,Naypyitaw,Normal,Female,Electronic accessories,26.61,2
868-52-7573,B,Mandalay,Normal,Female,Food and beverages,99.69,5
153-58-4872,C,Naypyitaw,Member,Female,Food and beverages,74.89,4
662-72-2873,A,Yangon,Normal,Female,Food and beverages,40.94,5
525-88-7307,B,Mandalay,Member,Male,Sports and travel,75.82,1
689-16-9784,C,Naypyitaw,Normal,Male,Food and beverages,46.77,6
725-56-0833,A,Yangon,Normal,Female,Health and beauty,32.32,10
394-41-0748,C,Naypyitaw,Member,Female,Fashion accessories,54.07,9
596-42-3999,B,Mandalay,Normal,Male,Food and beverages,18.22,7
