Invoice ID,Branch,Customer type,Gender
633-44-8566,A,Member,Male
588-47-8641,A,Member,Male
400-80-4065,C,Member,Male
891-58-8335,B,Member,Female
670-79-6321,B,Member,Female
563-36-9814,A,Member,Male
827-26-2100,A,Member,Male
197-77-7132,B,Member,Male
742-04-5161,A,Member,Male
799-71-1548,A,Member,Male
672-51-8681,C,Member,Female
162-65-8559,C,Member,Male
325-77-6186,A,Member,Female
659-36-1684,C,Member,Male
607-76-6216,C,Member,Female
549-96-4200,C,Member,Male
803-17-8013,A,Member,Female
505-02-0892,B,Member,Male
706-36-6154,A,Member,Male
457-13-1708,B,Member,Male
343-75-9322,B,Member,Female
525-88-7307,B,Member,Male
636-98-3364,B,Member,Female
443-60-9639,C,Member,Female
631-34-1880,C,Member,Male
132-32-9879,B,Member,Female
200-40-6154,B,Member,Male
604-70-6476,A,Member,Male
695-09-5146,B,Member,Female
574-80-1489,B,Member,Female
707-32-7409,B,Member,Female
239-48-4278,A,Member,Male
299-29-0180,B,Member,Female
374-17-3652,B,Member,Female
786-94-2700,A,Member,Male
142-72-4741,C,Member,Male
301-81-8610,B,Member,Male
131-15-8856,C,Member,Female
200-16-5952,C,Member,Male
719-76-3868,C,Member,Male
289-15-7034,A,Member,Male
574-31-8277,B,Member,Male
845-94-6841,C,Member,Female
433-75-6987,B,Member,Female
607-65-2441,C,Member,Male
195-06-0432,A,Member,Male
227-07-4446,C,Member,Female
789-23-8625,B,Member,Male
129-29-8530,A,Member,Male
210-30-7976,B,Member,Female
834-83-1826,B,Member,Female
338-65-2210,C,Member,Female
146-09-5432,A,Member,Male
448-34-8700,B,Member,Male
787-15-1757,C,Member,Male
210-67-5886,C,Member,Female
868-06-0466,A,Member,Male
704-20-4138,C,Member,Female
451-28-5717,C,Member,Female
787-87-2010,A,Member,Male
729-06-2010,B,Member,Male
343-87-0864,C,Member,Male
628-90-8624,B,Member,Male
548-48-3156,A,Member,Female
542-41-0513,B,Member,Female
457-12-0244,C,Member,Female
336-78-2147,C,Member,Male
148-82-2527,C,Member,Female
669-54-1719,B,Member,Male
339-18-7061,C,Member,Female
118-62-1812,C,Member,Female
645-44-1170,A,Member,Male
308-47-4913,A,Member,Female
602-80-9671,C,Member,Female
606-80-4905,C,Member,Female
704-11-6354,A,Member,Male
218-59-9410,A,Member,Female
873-14-6353,A,Member,Male
827-44-5872,B,Member,Female
346-84-3103,B,Member,Female
882-40-4577,A,Member,Male
728-47-9078,C,Member,Male
199-75-8169,A,Member,Male
339-96-8318,B,Member,Male
279-74-2924,B,Member,Male
689-05-1884,A,Member,Male
778-71-5554,C,Member,Male
895-66-0685,B,Member,Male
617-15-4209,C,Member,Male
382-03-4532,A,Member,Female
873-95-4984,B,Member,Female
592-46-1692,C,Member,Female
423-64-4619,A,Member,Female
160-22-2687,A,Member,Female
860-73-6466,A,Member,Female
603-07-0961,C,Member,Male
587-03-7455,C,Member,Female
285-68-5083,C,Member,Female
105-31-1824,A,Member,Male
719-89-8991,A,Member,Female
474-33-8305,C,Member,Male
843-01-4703,B,Member,Female
138-17-5109,A,Member,Female
254-31-0042,A,Member,Male
608-96-3517,B,Member,Female
425-85-2085,B,Member,Male
857-16-3520,A,Member,Female
484-22-8230,C,Member,Female
859-71-0933,C,Member,Female
760-90-2357,A,Member,Male
186-43-8965,A,Member,Female
589-02-8023,A,Member,Male
598-06-7312,B,Member,Male
243-47-2663,C,Member,Male
196-01-2849,C,Member,Female
291-55-6563,A,Member,Female
587-73-4862,A,Member,Female
151-16-1484,A,Member,Male
271-77-8740,C,Member,Female
873-51-0671,A,Member,Female
583-72-1480,C,Member,Male
848-24-9445,C,Member,Male
866-05-7563,B,Member,Female
373-14-0504,A,Member,Female
105-10-6182,A,Member,Male
102-77-2261,C,Member,Male
807-14-7833,A,Member,Female
488-25-4221,C,Member,Female
190-59-3964,B,Member,Male
302-15-2162,C,Member,Male
347-34-2234,B,Member,Female
314-23-4520,C,Member,Male
106-35-6779,A,Member,Male
778-34-2523,A,Member,Female
468-88-0009,A,Member,Male
529-56-3974,B,Member,Male
546-80-2899,A,Member,Male
274-05-5470,A,Member,Female
380-94-4661,C,Member,Male
152-08-9985,B,Member,Male
877-22-3308,A,Member,Male
756-93-1854,C,Member,Female
518-71-6847,B,Member,Male
889-04-9723,B,Member,Female
101-81-4070,C,Member,Female
817-48-8732,A,Member,Female
319-74-2561,A,Member,Female
324-41-6833,C,Member,Female
612-36-5536,A,Member,Male
577-34-7579,C,Member,Male
144-51-6085,A,Member,Male
364-34-2972,C,Member,Male
219-22-9386,B,Member,Male
346-12-3257,B,Member,Male
537-72-0426,C,Member,Male
573-98-8548,C,Member,Female
130-67-4723,A,Member,Male
585-90-0249,A,Member,Male
277-35-5865,C,Member,Female
162-48-8011,A,Member,Female
187-83-5490,A,Member,Male
266-76-6436,C,Member,Female
263-10-3913,C,Member,Male
704-48-3927,A,Member,Male
325-89-4209,A,Member,Male
434-83-9547,C,Member,Male
227-03-5010,A,Member,Female
279-62-1445,C,Member,Female
710-46-4433,B,Member,Female
291-32-1427,B,Member,Male
214-30-2776,B,Member,Female
640-48-5028,B,Member,Female
401-18-8016,B,Member,Female
664-14-2882,C,Member,Female
326-78-5178,C,Member,Male
324-92-3863,A,Member,Male
157-13-5295,A,Member,Male
885-56-0389,C,Member,Male
864-24-7918,A,Member,Female
840-76-5966,A,Member,Male
727-46-3608,B,Member,Female
744-02-5987,A,Member,Male
387-49-4215,B,Member,Female
522-57-8364,A,Member,Male
334-64-2006,A,Member,Female
459-45-2396,A,Member,Female
667-23-5919,A,Member,Female
565-17-3836,A,Member,Female
584-86-7256,C,Member,Male
440-59-5691,C,Member,Female
750-67-8428,A,Member,Female
482-17-1179,A,Member,Male
510-95-6347,B,Member,Female
479-26-8945,B,Member,Female
436-54-4512,A,Member,Female
746-68-6593,C,Member,Female
746-04-1077,B,Member,Female
512-98-1403,A,Member,Female
875-46-5808,B,Member,Male
608-05-3804,B,Member,Male
509-29-3912,A,Member,Female
838-02-1821,C,Member,Female
361-59-0574,B,Member,Male
390-80-5128,B,Member,Female
878-30-2331,C,Member,Female
155-45-3814,C,Member,Female
186-09-3669,C,Member,Female
237-01-6122,C,Member,Female
191-29-0321,B,Member,Female
608-27-6295,B,Member,Male
656-95-9349,A,Member,Female
859-97-6048,C,Member,Male
441-94-7118,A,Member,Male
784-21-9238,C,Member,Male
311-13-6971,B,Member,Male
443-59-0061,A,Member,Male
725-96-3778,C,Member,Female
450-28-2866,C,Member,Male
800-09-8606,A,Member,Female
470-32-9057,A,Member,Male
354-25-5821,B,Member,Female
793-10-3222,B,Member,Female
880-35-0356,A,Member,Female
655-85-5130,B,Member,Female
268-27-6179,B,Member,Female
560-49-6611,A,Member,Female
642-61-4706,B,Member,Male
883-69-1285,B,Member,Male
667-92-0055,A,Member,Male
182-52-7000,A,Member,Female
549-23-9016,C,Member,Female
217-58-1179,A,Member,Male
347-72-6115,B,Member,Female
305-14-0245,B,Member,Female
516-77-6464,C,Member,Female
126-54-1082,A,Member,Female
616-24-2851,B,Member,Female
491-38-3499,A,Member,Male
394-43-4238,B,Member,Male
181-94-6432,C,Member,Male
735-32-9839,C,Member,Male
166-19-2553,A,Member,Male
110-48-7033,B,Member,Male
652-49-6720,C,Member,Female
349-97-8902,B,Member,Male
685-64-1609,A,Member,Female
280-35-5823,B,Member,Female
435-13-4908,A,Member,Male
378-07-7001,B,Member,Male
149-14-0304,C,Member,Female
528-87-5606,B,Member,Female
149-15-7606,B,Member,Male
420-18-8989,A,Member,Female
593-95-4461,C,Member,Male
571-94-0759,B,Member,Female
532-59-7201,B,Member,Male
447-15-7839,A,Member,Female
815-11-1168,A,Member,Male
712-39-0363,A,Member,Male
266-20-6657,C,Member,Male
761-49-0439,B,Member,Female
541-89-9860,C,Member,Female
743-04-1105,B,Member,Male
779-06-0012,C,Member,Female
702-83-5291,C,Member,Male
273-84-2164,C,Member,Male
173-57-2300,C,Member,Male
869-11-3082,B,Member,Male
343-61-3544,B,Member,Male
829-49-1914,C,Member,Female
595-94-9924,A,Member,Female
269-10-8440,A,Member,Male
109-86-4363,B,Member,Female
728-88-7867,C,Member,Female
430-60-3493,A,Member,Female
510-09-5628,A,Member,Female
241-96-5076,B,Member,Female
333-23-2632,A,Member,Male
271-88-8734,C,Member,Female
650-98-6268,B,Member,Female
831-81-6575,B,Member,Female
386-27-7606,C,Member,Female
842-40-8179,B,Member,Female
641-96-3695,C,Member,Female
411-77-0180,A,Member,Male
574-22-5561,C,Member,Female
394-30-3170,B,Member,Female
201-63-8275,C,Member,Female
262-47-2794,B,Member,Male
759-98-4285,C,Member,Female
381-20-0914,A,Member,Female
767-05-1286,C,Member,Female
860-79-0874,C,Member,Female
552-44-5977,B,Member,Male
503-21-4385,B,Member,Male
802-70-5316,A,Member,Female
559-98-9873,A,Member,Female
278-97-7759,A,Member,Female
364-33-8584,B,Member,Female
102-06-2002,C,Member,Male
779-42-2410,B,Member,Male
342-65-4817,C,Member,Male
299-46-1805,B,Member,Female
565-80-5980,C,Member,Female
233-34-0817,C,Member,Female
307-83-9164,A,Member,Male
183-56-6882,C,Member,Female
884-80-6021,A,Member,Female
198-66-9832,B,Member,Female
359-90-3665,B,Member,Female
545-46-3100,B,Member,Female
737-88-5876,A,Member,Male
284-54-4231,C,Member,Male
752-23-3760,B,Member,Female
428-83-5800,C,Member,Female
449-27-2918,B,Member,Female
466-61-5506,B,Member,Female
134-75-2619,A,Member,Male
115-99-4379,B,Member,Female
676-10-2200,B,Member,Male
510-79-0415,B,Member,Female
135-13-8269,B,Member,Female
845-51-0542,B,Member,Male
527-09-6272,A,Member,Female
313-66-9943,B,Member,Female
186-71-5196,A,Member,Female
767-97-4650,B,Member,Female
732-04-5373,B,Member,Male
340-66-0321,A,Member,Male
595-86-2894,C,Member,Male
676-39-6028,A,Member,Female
725-54-0677,C,Member,Male
201-86-2184,B,Member,Female
366-93-0948,A,Member,Male
174-36-3675,C,Member,Male
851-28-6367,A,Member,Male
316-68-6352,A,Member,Female
234-03-4040,B,Member,Female
296-11-7041,B,Member,Female
211-05-0490,C,Member,Female
731-81-9469,C,Member,Female
659-65-8956,B,Member,Male
235-06-8510,C,Member,Male
247-11-2470,A,Member,Female
305-89-2768,B,Member,Female
123-19-1176,A,Member,Male
777-82-7220,B,Member,Male
729-09-9681,A,Member,Male
788-07-8452,C,Member,Female
360-39-5055,C,Member,Male
756-49-0168,A,Member,Male
394-55-6384,C,Member,Female
787-56-0757,C,Member,Female
430-53-4718,B,Member,Male
687-15-1097,C,Member,Female
665-32-9167,A,Member,Female
730-61-8757,B,Member,Male
246-55-6923,C,Member,Female
565-67-6697,B,Member,Male
370-41-7321,B,Member,Male
608-04-3797,B,Member,Female
409-49-6995,C,Member,Female
397-25-8725,A,Member,Female
848-95-6252,C,Member,Female
648-83-1321,A,Member,Male
238-45-6950,B,Member,Male
842-29-4695,C,Member,Male
731-59-7531,B,Member,Male
731-14-2199,A,Member,Female
325-90-8763,C,Member,Female
704-10-4056,C,Member,Male
701-23-5550,B,Member,Male
530-90-9855,A,Member,Male
420-11-4919,C,Member,Female
132-23-6451,A,Member,Male
427-45-9297,B,Member,Female
692-92-5582,B,Member,Female
173-50-1108,B,Member,Female
163-56-7055,C,Member,Male
153-58-4872,C,Member,Female
726-29-6793,A,Member,Male
