ID,AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
3856,40-64,female,0-9y,high school,upper class,0.49668658,after 2015,0,1,10238,14000.0,sedan,0,0,0,0
4035,40-64,female,20-29y,university,upper class,0.533130592,before 2015,1,0,32765,6000.0,sedan,2,1,1,0
4199,40-64,female,20-29y,university,middle class,0.503983295,before 2015,0,1,92101,16000.0,sedan,2,0,2,0
4334,26-39,male,10-19y,high school,middle class,0.504634369,before 2015,0,1,32765,,sedan,4,1,1,1
4427,65+,female,30y+,university,upper class,0.765637296,before 2015,1,1,32765,6000.0,sedan,6,0,1,0
4617,26-39,male,10-19y,university,upper class,0.697630001,after 2015,1,0,32765,12000.0,sports car,3,1,2,0
4674,26-39,female,0-9y,none,poverty,0.379452444,before 2015,0,0,10238,13000.0,sedan,0,0,0,1
4747,40-64,female,20-29y,none,middle class,0.653431203,before 2015,0,1,10238,10000.0,sedan,0,0,0,0
4953,40-64,male,0-9y,none,upper class,0.687730957,after 2015,0,0,10238,14000.0,sedan,0,0,0,0
4968,16-25,female,0-9y,high school,poverty,0.447036058,before 2015,0,0,10238,13000.0,sedan,0,0,0,1
5003,16-25,female,0-9y,high school,poverty,0.305300285,before 2015,0,0,32765,14000.0,sedan,0,0,0,1
5017,65+,male,20-29y,high school,upper class,0.582633897,before 2015,1,1,92101,9000.0,sedan,4,0,1,0
5195,40-64,female,0-9y,university,upper class,0.56408247,after 2015,1,1,32765,6000.0,sports car,0,0,0,0
5306,26-39,male,0-9y,university,middle class,0.495059754,before 2015,1,1,10238,,sedan,0,0,0,1
5356,65+,female,10-19y,university,middle class,,after 2015,1,1,10238,11000.0,sedan,1,0,0,0
5362,40-64,female,20-29y,university,upper class,0.704691299,after 2015,0,1,10238,14000.0,sedan,0,0,0,0
5451,65+,FEMALE,30y+,university,upper class,0.636213891,before 2015,1,1,10238,,sedan,5,0,1,0
5473,40-64,male,20-29y,university,upper class,0.671152631,before 2015,1,1,10238,13000.0,sedan,2,1,2,0
5656,40-64,male,20-29y,university,upper class,0.652157289,after 2015,1,1,10238,,sedan,6,0,2,0
5924,26-39,female,10-19y,high school,poverty,0.325007475,before 2015,0,1,10238,11000.0,sedan,0,0,1,1
5949,16-25,female,0-9y,high school,middle class,0.508764422,before 2015,0,1,10238,11000.0,sedan,0,0,0,1
6140,16-25,male,0-9y,university,poverty,0.405593536,before 2015,0,0,10238,14000.0,sedan,0,0,0,1
6153,40-64,male,20-29y,university,middle class,0.690224417,before 2015,0,0,10238,14000.0,sedan,0,0,1,0
6167,26-39,Male,10-19y,high school,upper class,0.512762385,after 2015,1,1,10238,7000.0,sports car,3,1,6,0
6452,40-64,Male,20-29y,university,upper class,0.626221463,after 2015,0,1,10238,13000.0,sedan,2,0,2,0
6676,40-64,female,20-29y,high school,upper class,0.558659174,before 2015,0,1,10238,15000.0,sedan,3,0,2,0
6708,26-39,female,10-19y,none,middle class,0.695585505,after 2015,0,1,32765,15000.0,sedan,2,0,0,1
7002,16-25,male,0-9y,university,working class,0.424699894,before 2015,0,1,10238,16000.0,sedan,0,0,0,0
7048,16-25,male,0-9y,university,upper class,,after 2015,0,0,10238,17000.0,sedan,0,0,0,0
7136,65+,male,10-19y,university,upper class,0.583768663,before 2015,0,0,32765,9000.0,sedan,5,0,1,1
7184,65+,female,30y+,high school,upper class,0.552470448,after 2015,1,1,10238,10000.0,sedan,4,0,8,0
7229,16-25,female,0-9y,high school,poverty,0.340959511,before 2015,0,0,32765,11000.0,sedan,0,0,0,1
7296,16-25,female,0-9y,university,working class,0.341020252,before 2015,0,1,32765,6000.0,sedan,0,0,0,0
7722,26-39,female,0-9y,high school,poverty,0.335747373,before 2015,0,1,10238,15000.0,sedan,0,0,0,1
7866,16-25,female,0-9y,university,working class,,before 2015,0,1,10238,15000.0,sports car,0,0,0,0
7893,40-64,female,10-19y,none,working class,0.185333615,after 2015,0,1,32765,14000.0,sedan,0,0,0,0
7905,40-64,female,10-19y,university,upper class,0.676148253,before 2015,0,1,10238,13000.0,sedan,1,0,0,0
7967,40-64,male,20-29y,high school,working class,0.324743831,before 2015,1,1,10238,10000.0,sedan,4,0,3,0
8023,65+,male,30y+,university,upper class,0.567526303,before 2015,0,0,10238,15000.0,sedan,4,0,2,0
8055,16-25,female,0-9y,none,middle class,0.685929636,after 2015,1,0,10238,13000.0,sedan,0,0,0,0
8309,16-25,male,0-9y,high school,middle class,0.519322805,after 2015,0,1,92101,,sedan,0,0,0,1
8316,40-64,male,10-19y,high school,upper class,0.720087446,before 2015,1,1,92101,12000.0,sedan,1,0,2,0
8388,40-64,female,10-19y,none,working class,0.425372617,after 2015,1,1,10238,9000.0,sports car,2,0,1,0
8464,65+,male,10-19y,university,upper class,,after 2015,1,1,10238,,sedan,3,0,2,0
8488,16-25,female,0-9y,university,middle class,0.248401215,after 2015,1,1,32765,10000.0,sedan,0,0,0,0
8539,40-64,Male,10-19y,high school,upper class,0.503790021,before 2015,1,1,10238,12000.0,sedan,0,1,1,1
8605,16-25,female,0-9y,university,poverty,0.500158714,before 2015,1,1,32765,9000.0,sedan,0,0,0,0
8618,26-39,female,10-19y,university,upper class,0.70487148,after 2015,0,0,32765,8000.0,sedan,1,0,0,0
8852,26-39,Female,10-19y,high school,middle class,0.668981211,before 2015,0,1,32765,,sports car,3,0,0,0
8982,65+,male,30y+,university,upper class,0.564567537,before 2015,1,1,10238,12000.0,sedan,2,1,4,0
9013,26-39,male,10-19y,high school,working class,0.625146635,before 2015,0,1,10238,17000.0,sedan,3,0,2,0
9128,40-64,female,20-29y,high school,middle class,0.474348001,after 2015,1,1,10238,9000.0,sedan,1,0,1,0
9204,26-39,female,10-19y,university,upper class,0.745420167,before 2015,1,1,10238,13000.0,sedan,0,0,0,0
9251,65+,female,30y+,high school,upper class,0.61366119,after 2015,1,1,10238,9000.0,sedan,3,0,1,0
9289,16-25,female,0-9y,university,upper class,0.633817535,before 2015,1,1,10238,7000.0,sedan,0,0,0,1
9402,65+,male,0-9y,university,upper class,0.668634097,after 2015,1,1,10238,8000.0,sedan,0,0,0,0
9519,40-64,female,20-29y,university,upper class,0.57206869,before 2015,0,0,10238,15000.0,sedan,3,1,2,0
9574,26-39,female,10-19y,university,middle class,0.495704873,before 2015,0,0,32765,11000.0,sedan,4,1,1,1
9627,26-39,Male,10-19y,high school,upper class,0.557823972,after 2015,1,1,10238,7000.0,sports car,1,0,2,0
9720,16-25,female,0-9y,none,poverty,0.422712717,before 2015,1,1,32765,4000.0,sedan,0,0,0,1
9810,16-25,male,0-9y,high school,working class,0.377714728,before 2015,0,0,10238,14000.0,sedan,0,0,0,1
9857,65+,female,30y+,university,upper class,0.508606549,before 2015,1,1,10238,9000.0,sedan,3,0,3,0
9863,40-64,male,20-29y,high school,upper class,0.722184591,after 2015,0,0,10238,15000.0,sedan,2,2,1,0
9905,40-64,FEMALE,20-29y,high school,middle class,0.51784963,before 2015,0,1,10238,12000.0,sedan,0,0,0,0
9914,26-39,male,10-19y,none,poverty,0.294208117,before 2015,0,1,10238,16000.0,sedan,1,1,2,1
9941,26-39,female,10-19y,high school,poverty,0.407671027,before 2015,0,1,10238,12000.0,sedan,2,0,1,0
10119,65+,female,0-9y,high school,upper class,0.449456255,before 2015,1,1,10238,10000.0,sedan,0,0,0,1
10129,26-39,female,0-9y,none,working class,0.48768084,before 2015,0,1,10238,13000.0,sedan,0,0,0,1
10147,26-39,male,10-19y,high school,middle class,0.555953557,after 2015,1,1,10238,11000.0,sedan,2,0,1,0
10200,40-64,male,20-29y,university,upper class,0.522450503,before 2015,1,0,10238,9000.0,sedan,2,0,6,0
10217,65+,male,30y+,high school,upper class,0.524487079,after 2015,1,1,10238,13000.0,sedan,2,0,4,0
10314,40-64,male,0-9y,university,upper class,0.638329881,before 2015,1,1,10238,10000.0,sedan,0,0,0,0
10358,40-64,male,20-29y,high school,upper class,0.859892162,after 2015,1,1,10238,7000.0,sedan,3,1,6,0
10365,40-64,female,20-29y,none,upper class,0.449675629,after 2015,0,1,32765,11000.0,sedan,2,0,0,0
10486,40-64,male,20-29y,university,upper class,0.573158584,after 2015,1,1,32765,9000.0,sedan,9,0,3,0
10545,16-25,male,0-9y,high school,poverty,0.233057469,before 2015,0,0,10238,17000.0,sedan,0,0,0,1
10585,40-64,female,20-29y,university,upper class,0.566625187,after 2015,1,0,10238,13000.0,sedan,1,0,0,0
10693,40-64,female,20-29y,none,working class,0.375344023,before 2015,1,1,21217,9000.0,sedan,4,0,2,1
10740,40-64,female,0-9y,high school,middle class,0.601847968,before 2015,1,1,10238,11000.0,sedan,0,0,0,0
10843,40-64,male,20-29y,university,upper class,0.587383612,after 2015,1,1,32765,9000.0,sedan,10,2,0,0
11018,65+,female,0-9y,university,upper class,0.497007485,before 2015,1,1,10238,9000.0,sedan,0,0,0,0
11081,40-64,female,0-9y,high school,upper class,0.539360724,before 2015,1,1,10238,7000.0,sedan,0,0,0,0
11119,65+,female,30y+,high school,upper class,0.725181283,before 2015,0,1,10238,14000.0,sedan,0,0,1,0
11165,16-25,female,0-9y,none,poverty,0.413356534,before 2015,0,1,32765,6000.0,sedan,0,0,0,0
11244,65+,male,30y+,university,upper class,0.574571626,after 2015,1,1,32765,7000.0,sports car,11,1,3,0
11280,16-25,female,0-9y,university,middle class,,after 2015,0,0,10238,14000.0,sedan,0,0,0,0
11478,26-39,male,0-9y,none,poverty,0.430061944,before 2015,0,0,10238,,sedan,0,0,0,1
11655,26-39,female,10-19y,high school,upper class,0.884409527,after 2015,1,1,10238,10000.0,sedan,0,0,0,0
11666,26-39,female,10-19y,high school,working class,0.38838568,before 2015,0,0,32765,13000.0,sedan,1,0,0,1
11693,16-25,male,0-9y,none,poverty,0.374176528,before 2015,0,1,10238,10000.0,sedan,0,0,0,1
11716,40-64,male,0-9y,university,upper class,0.598863873,after 2015,0,1,10238,10000.0,sedan,0,0,0,0
11761,65+,female,20-29y,university,upper class,0.802275006,after 2015,1,1,10238,12000.0,sedan,3,0,1,0
11854,26-39,male,0-9y,high school,working class,0.559229774,before 2015,1,1,10238,13000.0,sedan,0,0,0,1
11860,40-64,female,20-29y,high school,middle class,0.487377519,before 2015,1,1,92101,9000.0,sedan,3,0,2,0
12020,16-25,male,0-9y,none,poverty,0.575488656,before 2015,0,1,21217,13000.0,sedan,0,0,0,1
12037,26-39,female,10-19y,university,upper class,0.725992646,before 2015,0,0,32765,16000.0,sedan,0,0,0,0
12262,40-64,male,10-19y,high school,middle class,,after 2015,1,1,92101,13000.0,sedan,1,0,1,1
12333,40-64,male,20-29y,university,upper class,0.584162066,before 2015,1,0,10238,11000.0,sedan,4,0,0,0
12392,16-25,female,0-9y,high school,poverty,0.326135735,before 2015,0,0,10238,15000.0,sedan,0,0,0,0
12406,26-39,male,0-9y,high school,middle class,0.498312424,before 2015,1,1,10238,10000.0,sedan,0,0,0,1
12509,26-39,male,10-19y,university,upper class,0.652880799,before 2015,0,1,10238,10000.0,sedan,0,2,1,0
12632,65+,male,10-19y,university,upper class,0.622124997,before 2015,1,1,92101,7000.0,sedan,4,0,0,0
12797,16-25,female,0-9y,high school,working class,0.470818253,before 2015,1,0,10238,13000.0,sedan,0,0,0,0
13112,16-25,female,0-9y,none,poverty,0.226734279,before 2015,0,0,10238,9000.0,sedan,0,0,0,1
13158,26-39,male,10-19y,none,poverty,0.262592748,before 2015,0,0,10238,11000.0,sedan,2,0,3,1
13172,65+,female,30y+,university,upper class,0.616098765,before 2015,1,1,10238,10000.0,sedan,1,2,5,0
13493,40-64,male,0-9y,high school,upper class,0.592060559,after 2015,1,1,32765,12000.0,sedan,0,0,0,1
13552,40-64,female,20-29y,high school,middle class,0.587155338,after 2015,0,0,10238,14000.0,sedan,2,0,1,0
13561,40-64,male,20-29y,university,upper class,0.647251409,after 2015,1,1,92101,,sedan,2,1,0,0
13660,65+,female,10-19y,none,upper class,0.539412448,after 2015,1,0,10238,11000.0,sedan,2,0,1,0
13712,40-64,male,0-9y,none,working class,0.2750996,before 2015,1,1,32765,8000.0,sedan,0,0,0,1
13803,16-25,male,0-9y,none,poverty,0.448625156,after 2015,0,0,10238,15000.0,sedan,0,0,0,0
13877,65+,Male,10-19y,none,middle class,0.592371248,before 2015,1,1,32765,10000.0,sedan,1,0,2,0
14004,16-25,male,0-9y,high school,poverty,0.381001336,before 2015,0,1,10238,14000.0,sedan,0,0,0,1
14090,26-39,Male,10-19y,university,working class,,before 2015,0,1,32765,6000.0,sedan,6,1,2,1
14232,40-64,female,20-29y,none,middle class,0.51777488,before 2015,1,1,10238,8000.0,sedan,1,0,2,0
14622,26-39,male,10-19y,university,middle class,0.490739512,before 2015,1,1,32765,11000.0,sedan,2,1,0,1
14662,16-25,female,0-9y,none,poverty,0.416212767,before 2015,0,1,10238,12000.0,sedan,0,0,0,0
14977,26-39,male,10-19y,high school,middle class,0.536656678,after 2015,0,0,32765,13000.0,sedan,1,0,1,0
15119,65+,female,20-29y,university,upper class,0.760639031,before 2015,1,1,10238,,sedan,3,0,0,0
15409,65+,Female,30y+,university,upper class,0.664787413,before 2015,0,1,10238,11000.0,sedan,2,0,3,0
15411,40-64,male,20-29y,university,upper class,,before 2015,0,1,10238,15000.0,sedan,1,0,3,0
15598,40-64,male,10-19y,university,upper class,0.52826372,after 2015,0,1,32765,10000.0,sedan,3,0,0,0
15689,40-64,female,20-29y,high school,upper class,0.673113934,after 2015,1,1,10238,7000.0,sedan,1,0,0,0
15695,40-64,male,0-9y,high school,working class,0.392168447,before 2015,1,1,32765,7000.0,sedan,0,0,0,1
16212,26-39,male,10-19y,high school,poverty,0.273859235,after 2015,0,0,10238,14000.0,sedan,2,0,3,0
16345,16-25,male,0-9y,university,upper class,0.722598408,before 2015,0,0,32765,11000.0,sedan,0,0,0,1
16371,26-39,FEMALE,10-19y,university,upper class,,before 2015,1,1,32765,7000.0,sedan,3,0,0,1
16414,26-39,female,10-19y,none,poverty,0.489016405,before 2015,1,1,10238,12000.0,sedan,0,0,0,0
16431,26-39,male,10-19y,high school,middle class,0.581527175,after 2015,0,1,10238,16000.0,sedan,4,0,1,0
16453,65+,female,0-9y,none,working class,0.576121835,before 2015,1,0,92101,13000.0,sedan,0,0,0,1
16596,40-64,male,20-29y,university,upper class,,before 2015,1,0,10238,17000.0,sedan,1,0,1,0
16743,16-25,male,0-9y,university,poverty,0.303442852,before 2015,1,0,10238,,sedan,0,0,0,1
16925,16-25,male,0-9y,high school,poverty,0.405379465,before 2015,1,0,10238,,sedan,0,0,0,1
16946,16-25,female,0-9y,high school,poverty,0.277929013,before 2015,0,0,10238,17000.0,sedan,0,0,0,1
16991,65+,female,20-29y,university,upper class,0.572217266,before 2015,1,1,10238,9000.0,sports car,3,1,0,0
17079,26-39,male,0-9y,none,poverty,0.371222956,before 2015,0,0,10238,13000.0,sedan,0,0,0,1
17198,26-39,male,0-9y,high school,upper class,0.492318609,before 2015,1,1,10238,10000.0,sedan,0,0,0,0
17273,26-39,male,10-19y,none,poverty,0.123977549,before 2015,1,1,10238,9000.0,sedan,1,0,2,0
17297,16-25,female,0-9y,none,poverty,0.290850426,before 2015,1,1,10238,12000.0,sedan,0,0,0,1
17397,26-39,female,10-19y,university,upper class,0.670364627,after 2015,0,0,32765,11000.0,sedan,0,0,1,0
17483,26-39,female,10-19y,high school,poverty,0.375955417,before 2015,0,1,10238,,sedan,0,0,1,0
17502,26-39,female,10-19y,high school,middle class,0.543523265,before 2015,1,1,10238,12000.0,sedan,0,0,1,0
17593,40-64,male,20-29y,none,working class,0.410266515,after 2015,0,1,10238,10000.0,sedan,5,1,2,0
17757,16-25,male,0-9y,university,upper class,,after 2015,0,0,10238,13000.0,sedan,0,0,0,1
17816,26-39,female,10-19y,university,middle class,0.476614269,before 2015,0,1,10238,,sedan,0,0,1,0
18002,16-25,male,0-9y,none,poverty,0.412526875,before 2015,0,0,10238,16000.0,sedan,0,0,0,1
18019,26-39,female,10-19y,high school,poverty,0.468010982,before 2015,1,0,32765,11000.0,sedan,2,1,1,0
18141,40-64,female,20-29y,high school,working class,,before 2015,1,0,32765,10000.0,sports car,2,1,0,0
18175,65+,male,10-19y,university,upper class,0.67105774,before 2015,1,0,10238,19000.0,sedan,1,0,1,1
18293,16-25,male,0-9y,high school,poverty,0.275661767,before 2015,0,0,32765,,sedan,0,0,0,1
18301,26-39,male,10-19y,high school,middle class,0.650988642,before 2015,1,0,10238,14000.0,sedan,4,0,2,1
18507,40-64,male,0-9y,none,middle class,0.615701839,before 2015,1,1,10238,,sedan,0,0,0,0
18691,40-64,male,10-19y,high school,upper class,0.635887396,before 2015,1,1,32765,8000.0,sedan,3,0,0,0
18706,26-39,male,10-19y,university,middle class,0.576991391,before 2015,1,0,10238,14000.0,sedan,1,0,2,0
18850,26-39,female,10-19y,high school,poverty,0.175240246,before 2015,1,1,10238,14000.0,sedan,1,0,0,0
18882,26-39,female,10-19y,university,working class,,before 2015,0,1,32765,10000.0,sedan,0,1,0,0
18890,40-64,female,10-19y,university,upper class,0.714968019,before 2015,0,1,10238,15000.0,sedan,0,0,1,0
18985,40-64,male,20-29y,high school,working class,0.353037466,before 2015,0,1,10238,14000.0,sedan,0,0,2,0
19144,16-25,male,0-9y,university,middle class,0.493034349,before 2015,1,1,32765,7000.0,sedan,0,0,0,1
19261,16-25,female,0-9y,high school,working class,0.324212857,before 2015,0,0,10238,11000.0,sedan,0,0,0,0
19371,40-64,male,10-19y,university,upper class,0.600204472,after 2015,1,1,10238,9000.0,sedan,0,1,1,0
19556,16-25,female,0-9y,university,middle class,0.695540375,after 2015,0,1,10238,16000.0,sedan,0,0,0,0
19568,40-64,male,10-19y,university,upper class,0.635394566,after 2015,0,1,10238,15000.0,sedan,0,0,2,0
19712,26-39,female,10-19y,high school,middle class,0.524613799,before 2015,0,1,10238,12000.0,sedan,1,0,1,0
19748,26-39,female,10-19y,university,middle class,0.674251148,after 2015,0,1,32765,10000.0,sedan,4,0,0,0
19948,26-39,female,10-19y,none,poverty,,after 2015,0,0,10238,11000.0,sedan,0,0,0,0
19951,40-64,male,20-29y,university,upper class,0.694260045,before 2015,0,1,32765,,sports car,7,1,0,0
20043,40-64,Male,20-29y,university,upper class,0.582067421,before 2015,1,1,10238,12000.0,sedan,3,2,4,0
20059,65+,female,30y+,none,upper class,0.673865148,before 2015,1,1,92101,9000.0,sedan,4,0,1,0
20174,40-64,female,0-9y,university,upper class,0.75734672,before 2015,1,1,32765,8000.0,sedan,0,0,0,0
20220,40-64,female,20-29y,high school,upper class,0.779167955,before 2015,0,1,32765,14000.0,sedan,1,2,0,0
20282,26-39,female,0-9y,university,upper class,0.55599359,after 2015,1,1,10238,10000.0,sedan,0,0,0,1
20441,65+,male,20-29y,high school,upper class,,before 2015,1,1,32765,13000.0,sedan,7,3,0,0
20455,40-64,female,10-19y,university,upper class,0.728514609,before 2015,1,1,32765,,sedan,1,0,0,0
20500,16-25,male,0-9y,high school,working class,0.637030018,after 2015,0,0,10238,13000.0,sedan,0,0,0,0
20635,16-25,male,0-9y,high school,middle class,,before 2015,0,0,92101,14000.0,sedan,0,0,0,1
20645,40-64,female,20-29y,university,upper class,0.655351248,after 2015,1,1,92101,10000.0,sedan,1,0,0,0
20669,16-25,female,0-9y,high school,poverty,0.395011586,before 2015,0,1,10238,14000.0,sedan,0,0,0,1
20975,26-39,male,10-19y,university,upper class,0.62610518,before 2015,0,0,32765,11000.0,sedan,1,0,0,0
20986,26-39,male,10-19y,university,upper class,0.748130743,before 2015,1,1,32765,10000.0,sedan,3,1,2,0
21512,26-39,female,10-19y,university,upper class,0.518888256,after 2015,1,1,10238,9000.0,sedan,0,0,1,0
21651,26-39,Male,10-19y,none,poverty,0.362350351,before 2015,0,0,10238,14000.0,sedan,3,0,1,0
21679,40-64,male,0-9y,high school,upper class,0.583853641,after 2015,1,0,10238,11000.0,sedan,0,0,0,0
21746,40-64,female,20-29y,high school,middle class,0.452453633,before 2015,1,1,10238,12000.0,sedan,1,0,0,0
21811,26-39,male,0-9y,none,poverty,0.253698145,before 2015,1,1,10238,8000.0,sedan,0,0,0,1
21860,16-25,female,0-9y,high school,working class,0.512563072,before 2015,0,0,32765,12000.0,sedan,0,0,0,1
21970,26-39,female,10-19y,none,poverty,0.319866568,before 2015,0,1,10238,9000.0,sports car,0,0,2,0
22073,16-25,female,0-9y,university,working class,0.345973425,before 2015,0,1,10238,15000.0,sedan,0,0,0,1
22154,26-39,male,0-9y,high school,middle class,,before 2015,0,1,10238,9000.0,sedan,0,0,0,1
22326,16-25,female,0-9y,high school,poverty,0.369616116,before 2015,0,0,32765,15000.0,sedan,0,0,0,1
22475,40-64,female,0-9y,high school,middle class,0.590567435,before 2015,1,0,10238,11000.0,sedan,0,0,0,0
22674,16-25,female,0-9y,high school,poverty,,before 2015,0,0,10238,15000.0,sedan,0,0,0,1
22818,65+,male,20-29y,university,upper class,0.643227324,before 2015,0,1,10238,13000.0,sports car,5,2,3,0
22899,16-25,male,0-9y,university,working class,0.579561608,after 2015,0,1,21217,11000.0,sedan,0,0,0,1
22905,26-39,female,10-19y,high school,upper class,0.543177552,before 2015,1,1,32765,8000.0,sedan,1,0,0,0
23005,26-39,female,10-19y,high school,working class,,before 2015,1,1,32765,,sedan,3,1,0,0
23145,65+,female,10-19y,none,middle class,0.459294707,before 2015,1,1,10238,10000.0,sports car,2,0,3,0
23290,65+,female,30y+,university,upper class,0.583488556,before 2015,1,1,32765,6000.0,sedan,10,1,0,0
23419,40-64,male,20-29y,university,upper class,0.508237955,after 2015,1,1,10238,9000.0,sedan,7,0,4,0
23557,26-39,female,0-9y,high school,middle class,0.509187782,before 2015,0,0,32765,12000.0,sedan,0,0,0,1
23638,40-64,female,10-19y,none,working class,,before 2015,1,1,21217,14000.0,sports car,0,0,2,1
23923,16-25,female,0-9y,high school,middle class,0.550975404,before 2015,0,0,32765,13000.0,sedan,0,0,0,1
23958,26-39,male,10-19y,university,working class,0.516969771,before 2015,1,1,10238,,sedan,2,0,5,0
23989,16-25,male,0-9y,none,poverty,0.3527398,before 2015,0,1,10238,12000.0,sedan,0,0,0,1
24167,40-64,female,20-29y,high school,upper class,0.709948019,before 2015,1,1,10238,10000.0,sedan,0,0,1,0
24255,65+,male,30y+,high school,upper class,0.622244913,after 2015,1,1,10238,8000.0,sedan,4,0,4,0
24396,26-39,female,10-19y,high school,poverty,0.414461867,before 2015,1,1,10238,10000.0,sedan,3,0,1,0
24512,26-39,male,10-19y,high school,working class,0.560413011,before 2015,0,0,10238,12000.0,sedan,1,0,0,0
24737,40-64,female,20-29y,none,poverty,0.519454276,before 2015,0,1,32765,10000.0,sedan,6,1,1,0
