AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_YEAR,MARRIED,CHILDREN,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,FREQUENT_ACCIDENT
26-39,male,10-19y,university,upper class,0.697630001,after 2015,True,False,12000.0,3,1,2,False,Rarely
26-39,female,0-9y,none,poverty,0.379452444,before 2015,False,False,13000.0,0,0,0,True,Never
40-64,female,20-29y,none,middle class,0.653431203,before 2015,False,True,10000.0,0,0,0,False,Never
40-64,male,0-9y,none,upper class,0.687730957,after 2015,False,False,14000.0,0,0,0,False,Never
16-25,female,0-9y,high school,poverty,0.447036058,before 2015,False,False,13000.0,0,0,0,True,Never
16-25,female,0-9y,high school,poverty,0.305300285,before 2015,False,False,14000.0,0,0,0,True,Never
65+,male,20-29y,high school,upper class,0.582633897,before 2015,True,True,9000.0,4,0,1,False,Rarely
40-64,female,0-9y,university,upper class,0.56408247,after 2015,True,True,6000.0,0,0,0,False,Never
26-39,male,0-9y,university,middle class,0.495059754,before 2015,True,True,,0,0,0,True,Never
65+,female,10-19y,university,middle class,,after 2015,True,True,11000.0,1,0,0,False,Never
40-64,female,20-29y,university,upper class,0.704691299,after 2015,False,True,14000.0,0,0,0,False,Never
65+,female,30y+,university,upper class,0.636213891,before 2015,True,True,,5,0,1,False,Rarely
40-64,male,20-29y,university,upper class,0.671152631,before 2015,True,True,13000.0,2,1,2,False,Rarely
40-64,male,20-29y,university,upper class,0.652157289,after 2015,True,True,,6,0,2,False,Rarely
26-39,female,10-19y,high school,poverty,0.325007475,before 2015,False,True,11000.0,0,0,1,True,Rarely
16-25,female,0-9y,high school,middle class,0.508764422,before 2015,False,True,11000.0,0,0,0,True,Never
16-25,male,0-9y,university,poverty,0.405593536,before 2015,False,False,14000.0,0,0,0,True,Never
40-64,male,20-29y,university,middle class,0.690224417,before 2015,False,False,14000.0,0,0,1,False,Rarely
26-39,male,10-19y,high school,upper class,0.512762385,after 2015,True,True,7000.0,3,1,6,False,Often
40-64,male,20-29y,university,upper class,0.626221463,after 2015,False,True,13000.0,2,0,2,False,Rarely
40-64,female,20-29y,high school,upper class,0.558659174,before 2015,False,True,15000.0,3,0,2,False,Rarely
26-39,female,10-19y,none,middle class,0.695585505,after 2015,False,True,15000.0,2,0,0,True,Never
16-25,male,0-9y,university,working class,0.424699894,before 2015,False,True,16000.0,0,0,0,False,Never
16-25,male,0-9y,university,upper class,,after 2015,False,False,17000.0,0,0,0,False,Never
65+,male,10-19y,university,upper class,0.583768663,before 2015,False,False,9000.0,5,0,1,True,Rarely
65+,female,30y+,high school,upper class,0.552470448,after 2015,True,True,10000.0,4,0,8,False,Often
16-25,female,0-9y,high school,poverty,0.340959511,before 2015,False,False,11000.0,0,0,0,True,Never
16-25,female,0-9y,university,working class,0.341020252,before 2015,False,True,6000.0,0,0,0,False,Never
26-39,female,0-9y,high school,poverty,0.335747373,before 2015,False,True,15000.0,0,0,0,True,Never
16-25,female,0-9y,university,working class,,before 2015,False,True,15000.0,0,0,0,False,Never
40-64,female,10-19y,none,working class,0.185333615,after 2015,False,True,14000.0,0,0,0,False,Never
40-64,female,10-19y,university,upper class,0.676148253,before 2015,False,True,13000.0,1,0,0,False,Never
40-64,male,20-29y,high school,working class,0.324743831,before 2015,True,True,10000.0,4,0,3,False,Often
65+,male,30y+,university,upper class,0.567526303,before 2015,False,False,15000.0,4,0,2,False,Rarely
16-25,female,0-9y,none,middle class,0.685929636,after 2015,True,False,13000.0,0,0,0,False,Never
16-25,male,0-9y,high school,middle class,0.519322805,after 2015,False,True,,0,0,0,True,Never
40-64,male,10-19y,high school,upper class,0.720087446,before 2015,True,True,12000.0,1,0,2,False,Rarely
40-64,female,10-19y,none,working class,0.425372617,after 2015,True,True,9000.0,2,0,1,False,Rarely
65+,male,10-19y,university,upper class,,after 2015,True,True,,3,0,2,False,Rarely
16-25,female,0-9y,university,middle class,0.248401215,after 2015,True,True,10000.0,0,0,0,False,Never
40-64,male,10-19y,high school,upper class,0.503790021,before 2015,True,True,12000.0,0,1,1,True,Rarely
16-25,female,0-9y,university,poverty,0.500158714,before 2015,True,True,9000.0,0,0,0,False,Never
26-39,female,10-19y,university,upper class,0.70487148,after 2015,False,False,8000.0,1,0,0,False,Never
26-39,female,10-19y,high school,middle class,0.668981211,before 2015,False,True,,3,0,0,False,Never
65+,male,30y+,university,upper class,0.564567537,before 2015,True,True,12000.0,2,1,4,False,Often
26-39,male,10-19y,high school,working class,0.625146635,before 2015,False,True,17000.0,3,0,2,False,Rarely
40-64,female,20-29y,high school,middle class,0.474348001,after 2015,True,True,9000.0,1,0,1,False,Rarely
26-39,female,10-19y,university,upper class,0.745420167,before 2015,True,True,13000.0,0,0,0,False,Never
65+,female,30y+,high school,upper class,0.61366119,after 2015,True,True,9000.0,3,0,1,False,Rarely
16-25,female,0-9y,university,upper class,0.633817535,before 2015,True,True,7000.0,0,0,0,True,Never
65+,male,0-9y,university,upper class,0.668634097,after 2015,True,True,8000.0,0,0,0,False,Never
40-64,female,20-29y,university,upper class,0.57206869,before 2015,False,False,15000.0,3,1,2,False,Rarely
26-39,female,10-19y,university,middle class,0.495704873,before 2015,False,False,11000.0,4,1,1,True,Rarely
26-39,male,10-19y,high school,upper class,0.557823972,after 2015,True,True,7000.0,1,0,2,False,Rarely
16-25,female,0-9y,none,poverty,0.422712717,before 2015,True,True,4000.0,0,0,0,True,Never
16-25,male,0-9y,high school,working class,0.377714728,before 2015,False,False,14000.0,0,0,0,True,Never
65+,female,30y+,university,upper class,0.508606549,before 2015,True,True,9000.0,3,0,3,False,Often
40-64,male,20-29y,high school,upper class,0.722184591,after 2015,False,False,15000.0,2,2,1,False,Rarely
40-64,female,20-29y,high school,middle class,0.51784963,before 2015,False,True,12000.0,0,0,0,False,Never
26-39,male,10-19y,none,poverty,0.294208117,before 2015,False,True,16000.0,1,1,2,True,Rarely
26-39,female,10-19y,high school,poverty,0.407671027,before 2015,False,True,12000.0,2,0,1,False,Rarely
65+,female,0-9y,high school,upper class,0.449456255,before 2015,True,True,10000.0,0,0,0,True,Never
26-39,female,0-9y,none,working class,0.48768084,before 2015,False,True,13000.0,0,0,0,True,Never
26-39,male,10-19y,high school,middle class,0.555953557,after 2015,True,True,11000.0,2,0,1,False,Rarely
40-64,male,20-29y,university,upper class,0.522450503,before 2015,True,False,9000.0,2,0,6,False,Often
65+,male,30y+,high school,upper class,0.524487079,after 2015,True,True,13000.0,2,0,4,False,Often
40-64,male,0-9y,university,upper class,0.638329881,before 2015,True,True,10000.0,0,0,0,False,Never
40-64,male,20-29y,high school,upper class,0.859892162,after 2015,True,True,7000.0,3,1,6,False,Often
40-64,female,20-29y,none,upper class,0.449675629,after 2015,False,True,11000.0,2,0,0,False,Never
40-64,male,20-29y,university,upper class,0.573158584,after 2015,True,True,9000.0,9,0,3,False,Often
16-25,male,0-9y,high school,poverty,0.233057469,before 2015,False,False,17000.0,0,0,0,True,Never
40-64,female,20-29y,university,upper class,0.566625187,after 2015,True,False,13000.0,1,0,0,False,Never
40-64,female,20-29y,none,working class,0.375344023,before 2015,True,True,9000.0,4,0,2,True,Rarely
40-64,female,0-9y,high school,middle class,0.601847968,before 2015,True,True,11000.0,0,0,0,False,Never
40-64,male,20-29y,university,upper class,0.587383612,after 2015,True,True,9000.0,10,2,0,False,Never
65+,female,0-9y,university,upper class,0.497007485,before 2015,True,True,9000.0,0,0,0,False,Never
40-64,female,0-9y,high school,upper class,0.539360724,before 2015,True,True,7000.0,0,0,0,False,Never
65+,female,30y+,high school,upper class,0.725181283,before 2015,False,True,14000.0,0,0,1,False,Rarely
16-25,female,0-9y,none,poverty,0.413356534,before 2015,False,True,6000.0,0,0,0,False,Never
65+,male,30y+,university,upper class,0.574571626,after 2015,True,True,7000.0,11,1,3,False,Often
16-25,female,0-9y,university,middle class,,after 2015,False,False,14000.0,0,0,0,False,Never
26-39,male,0-9y,none,poverty,0.430061944,before 2015,False,False,,0,0,0,True,Never
26-39,female,10-19y,high school,upper class,0.884409527,after 2015,True,True,10000.0,0,0,0,False,Never
26-39,female,10-19y,high school,working class,0.38838568,before 2015,False,False,13000.0,1,0,0,True,Never
16-25,male,0-9y,none,poverty,0.374176528,before 2015,False,True,10000.0,0,0,0,True,Never
40-64,male,0-9y,university,upper class,0.598863873,after 2015,False,True,10000.0,0,0,0,False,Never
65+,female,20-29y,university,upper class,0.802275006,after 2015,True,True,12000.0,3,0,1,False,Rarely
26-39,male,0-9y,high school,working class,0.559229774,before 2015,True,True,13000.0,0,0,0,True,Never
40-64,female,20-29y,high school,middle class,0.487377519,before 2015,True,True,9000.0,3,0,2,False,Rarely
16-25,male,0-9y,none,poverty,0.575488656,before 2015,False,True,13000.0,0,0,0,True,Never
26-39,female,10-19y,university,upper class,0.725992646,before 2015,False,False,16000.0,0,0,0,False,Never
40-64,male,10-19y,high school,middle class,,after 2015,True,True,13000.0,1,0,1,True,Rarely
40-64,male,20-29y,university,upper class,0.584162066,before 2015,True,False,11000.0,4,0,0,False,Never
16-25,female,0-9y,high school,poverty,0.326135735,before 2015,False,False,15000.0,0,0,0,False,Never
26-39,male,0-9y,high school,middle class,0.498312424,before 2015,True,True,10000.0,0,0,0,True,Never
26-39,male,10-19y,university,upper class,0.652880799,before 2015,False,True,10000.0,0,2,1,False,Rarely
65+,male,10-19y,university,upper class,0.622124997,before 2015,True,True,7000.0,4,0,0,False,Never
16-25,female,0-9y,high school,working class,0.470818253,before 2015,True,False,13000.0,0,0,0,False,Never
16-25,female,0-9y,none,poverty,0.226734279,before 2015,False,False,9000.0,0,0,0,True,Never
26-39,male,10-19y,none,poverty,0.262592748,before 2015,False,False,11000.0,2,0,3,True,Often
65+,female,30y+,university,upper class,0.616098765,before 2015,True,True,10000.0,1,2,5,False,Often
40-64,male,0-9y,high school,upper class,0.592060559,after 2015,True,True,12000.0,0,0,0,True,Never
40-64,female,20-29y,high school,middle class,0.587155338,after 2015,False,False,14000.0,2,0,1,False,Rarely
40-64,male,20-29y,university,upper class,0.647251409,after 2015,True,True,,2,1,0,False,Never
65+,female,10-19y,none,upper class,0.539412448,after 2015,True,False,11000.0,2,0,1,False,Rarely
40-64,male,0-9y,none,working class,0.2750996,before 2015,True,True,8000.0,0,0,0,True,Never
16-25,male,0-9y,none,poverty,0.448625156,after 2015,False,False,15000.0,0,0,0,False,Never
65+,male,10-19y,none,middle class,0.592371248,before 2015,True,True,10000.0,1,0,2,False,Rarely
16-25,male,0-9y,high school,poverty,0.381001336,before 2015,False,True,14000.0,0,0,0,True,Never
26-39,male,10-19y,university,working class,,before 2015,False,True,6000.0,6,1,2,True,Rarely
40-64,female,20-29y,none,middle class,0.51777488,before 2015,True,True,8000.0,1,0,2,False,Rarely
26-39,male,10-19y,university,middle class,0.490739512,before 2015,True,True,11000.0,2,1,0,True,Never
16-25,female,0-9y,none,poverty,0.416212767,before 2015,False,True,12000.0,0,0,0,False,Never
26-39,male,10-19y,high school,middle class,0.536656678,after 2015,False,False,13000.0,1,0,1,False,Rarely
65+,female,20-29y,university,upper class,0.760639031,before 2015,True,True,,3,0,0,False,Never
65+,female,30y+,university,upper class,0.664787413,before 2015,False,True,11000.0,2,0,3,False,Often
40-64,male,20-29y,university,upper class,,before 2015,False,True,15000.0,1,0,3,False,Often
40-64,male,10-19y,university,upper class,0.52826372,after 2015,False,True,10000.0,3,0,0,False,Never
40-64,female,20-29y,high school,upper class,0.673113934,after 2015,True,True,7000.0,1,0,0,False,Never
40-64,male,0-9y,high school,working class,0.392168447,before 2015,True,True,7000.0,0,0,0,True,Never
26-39,male,10-19y,high school,poverty,0.273859235,after 2015,False,False,14000.0,2,0,3,False,Often
16-25,male,0-9y,university,upper class,0.722598408,before 2015,False,False,11000.0,0,0,0,True,Never
26-39,female,10-19y,university,upper class,,before 2015,True,True,7000.0,3,0,0,True,Never
26-39,female,10-19y,none,poverty,0.489016405,before 2015,True,True,12000.0,0,0,0,False,Never
26-39,male,10-19y,high school,middle class,0.581527175,after 2015,False,True,16000.0,4,0,1,False,Rarely
65+,female,0-9y,none,working class,0.576121835,before 2015,True,False,13000.0,0,0,0,True,Never
40-64,male,20-29y,university,upper class,,before 2015,True,False,17000.0,1,0,1,False,Rarely
16-25,male,0-9y,university,poverty,0.303442852,before 2015,True,False,,0,0,0,True,Never
16-25,male,0-9y,high school,poverty,0.405379465,before 2015,True,False,,0,0,0,True,Never
16-25,female,0-9y,high school,poverty,0.277929013,before 2015,False,False,17000.0,0,0,0,True,Never
65+,female,20-29y,university,upper class,0.572217266,before 2015,True,True,9000.0,3,1,0,False,Never
26-39,male,0-9y,none,poverty,0.371222956,before 2015,False,False,13000.0,0,0,0,True,Never
26-39,male,0-9y,high school,upper class,0.492318609,before 2015,True,True,10000.0,0,0,0,False,Never
26-39,male,10-19y,none,poverty,0.123977549,before 2015,True,True,9000.0,1,0,2,False,Rarely
16-25,female,0-9y,none,poverty,0.290850426,before 2015,True,True,12000.0,0,0,0,True,Never
26-39,female,10-19y,university,upper class,0.670364627,after 2015,False,False,11000.0,0,0,1,False,Rarely
26-39,female,10-19y,high school,poverty,0.375955417,before 2015,False,True,,0,0,1,False,Rarely
26-39,female,10-19y,high school,middle class,0.543523265,before 2015,True,True,12000.0,0,0,1,False,Rarely
40-64,male,20-29y,none,working class,0.410266515,after 2015,False,True,10000.0,5,1,2,False,Rarely
16-25,male,0-9y,university,upper class,,after 2015,False,False,13000.0,0,0,0,True,Never
26-39,female,10-19y,university,middle class,0.476614269,before 2015,False,True,,0,0,1,False,Rarely
16-25,male,0-9y,none,poverty,0.412526875,before 2015,False,False,16000.0,0,0,0,True,Never
26-39,female,10-19y,high school,poverty,0.468010982,before 2015,True,False,11000.0,2,1,1,False,Rarely
40-64,female,20-29y,high school,working class,,before 2015,True,False,10000.0,2,1,0,False,Never
65+,male,10-19y,university,upper class,0.67105774,before 2015,True,False,19000.0,1,0,1,True,Rarely
16-25,male,0-9y,high school,poverty,0.275661767,before 2015,False,False,,0,0,0,True,Never
26-39,male,10-19y,high school,middle class,0.650988642,before 2015,True,False,14000.0,4,0,2,True,Rarely
40-64,male,0-9y,none,middle class,0.615701839,before 2015,True,True,,0,0,0,False,Never
40-64,male,10-19y,high school,upper class,0.635887396,before 2015,True,True,8000.0,3,0,0,False,Never
26-39,male,10-19y,university,middle class,0.576991391,before 2015,True,False,14000.0,1,0,2,False,Rarely
26-39,female,10-19y,high school,poverty,0.175240246,before 2015,True,True,14000.0,1,0,0,False,Never
26-39,female,10-19y,university,working class,,before 2015,False,True,10000.0,0,1,0,False,Never
40-64,female,10-19y,university,upper class,0.714968019,before 2015,False,True,15000.0,0,0,1,False,Rarely
40-64,male,20-29y,high school,working class,0.353037466,before 2015,False,True,14000.0,0,0,2,False,Rarely
16-25,male,0-9y,university,middle class,0.493034349,before 2015,True,True,7000.0,0,0,0,True,Never
16-25,female,0-9y,high school,working class,0.324212857,before 2015,False,False,11000.0,0,0,0,False,Never
40-64,male,10-19y,university,upper class,0.600204472,after 2015,True,True,9000.0,0,1,1,False,Rarely
16-25,female,0-9y,university,middle class,0.695540375,after 2015,False,True,16000.0,0,0,0,False,Never
40-64,male,10-19y,university,upper class,0.635394566,after 2015,False,True,15000.0,0,0,2,False,Rarely
26-39,female,10-19y,high school,middle class,0.524613799,before 2015,False,True,12000.0,1,0,1,False,Rarely
26-39,female,10-19y,university,middle class,0.674251148,after 2015,False,True,10000.0,4,0,0,False,Never
26-39,female,10-19y,none,poverty,,after 2015,False,False,11000.0,0,0,0,False,Never
40-64,male,20-29y,university,upper class,0.694260045,before 2015,False,True,,7,1,0,False,Never
40-64,male,20-29y,university,upper class,0.582067421,before 2015,True,True,12000.0,3,2,4,False,Often
65+,female,30y+,none,upper class,0.673865148,before 2015,True,True,9000.0,4,0,1,False,Rarely
40-64,female,0-9y,university,upper class,0.75734672,before 2015,True,True,8000.0,0,0,0,False,Never
40-64,female,20-29y,high school,upper class,0.779167955,before 2015,False,True,14000.0,1,2,0,False,Never
26-39,female,0-9y,university,upper class,0.55599359,after 2015,True,True,10000.0,0,0,0,True,Never
65+,male,20-29y,high school,upper class,,before 2015,True,True,13000.0,7,3,0,False,Never
40-64,female,10-19y,university,upper class,0.728514609,before 2015,True,True,,1,0,0,False,Never
16-25,male,0-9y,high school,working class,0.637030018,after 2015,False,False,13000.0,0,0,0,False,Never
16-25,male,0-9y,high school,middle class,,before 2015,False,False,14000.0,0,0,0,True,Never
40-64,female,20-29y,university,upper class,0.655351248,after 2015,True,True,10000.0,1,0,0,False,Never
16-25,female,0-9y,high school,poverty,0.395011586,before 2015,False,True,14000.0,0,0,0,True,Never
26-39,male,10-19y,university,upper class,0.62610518,before 2015,False,False,11000.0,1,0,0,False,Never
26-39,male,10-19y,university,upper class,0.748130743,before 2015,True,True,10000.0,3,1,2,False,Rarely
26-39,female,10-19y,university,upper class,0.518888256,after 2015,True,True,9000.0,0,0,1,False,Rarely
26-39,male,10-19y,none,poverty,0.362350351,before 2015,False,False,14000.0,3,0,1,False,Rarely
40-64,male,0-9y,high school,upper class,0.583853641,after 2015,True,False,11000.0,0,0,0,False,Never
40-64,female,20-29y,high school,middle class,0.452453633,before 2015,True,True,12000.0,1,0,0,False,Never
26-39,male,0-9y,none,poverty,0.253698145,before 2015,True,True,8000.0,0,0,0,True,Never
16-25,female,0-9y,high school,working class,0.512563072,before 2015,False,False,12000.0,0,0,0,True,Never
26-39,female,10-19y,none,poverty,0.319866568,before 2015,False,True,9000.0,0,0,2,False,Rarely
16-25,female,0-9y,university,working class,0.345973425,before 2015,False,True,15000.0,0,0,0,True,Never
26-39,male,0-9y,high school,middle class,,before 2015,False,True,9000.0,0,0,0,True,Never
16-25,female,0-9y,high school,poverty,0.369616116,before 2015,False,False,15000.0,0,0,0,True,Never
40-64,female,0-9y,high school,middle class,0.590567435,before 2015,True,False,11000.0,0,0,0,False,Never
16-25,female,0-9y,high school,poverty,,before 2015,False,False,15000.0,0,0,0,True,Never
65+,male,20-29y,university,upper class,0.643227324,before 2015,False,True,13000.0,5,2,3,False,Often
16-25,male,0-9y,university,working class,0.579561608,after 2015,False,True,11000.0,0,0,0,True,Never
26-39,female,10-19y,high school,upper class,0.543177552,before 2015,True,True,8000.0,1,0,0,False,Never
26-39,female,10-19y,high school,working class,,before 2015,True,True,,3,1,0,False,Never
65+,female,10-19y,none,middle class,0.459294707,before 2015,True,True,10000.0,2,0,3,False,Often
65+,female,30y+,university,upper class,0.583488556,before 2015,True,True,6000.0,10,1,0,False,Never
40-64,male,20-29y,university,upper class,0.508237955,after 2015,True,True,9000.0,7,0,4,False,Often
26-39,female,0-9y,high school,middle class,0.509187782,before 2015,False,False,12000.0,0,0,0,True,Never
40-64,female,10-19y,none,working class,,before 2015,True,True,14000.0,0,0,2,True,Rarely
16-25,female,0-9y,high school,middle class,0.550975404,before 2015,False,False,13000.0,0,0,0,True,Never
26-39,male,10-19y,university,working class,0.516969771,before 2015,True,True,,2,0,5,False,Often
16-25,male,0-9y,none,poverty,0.3527398,before 2015,False,True,12000.0,0,0,0,True,Never
40-64,female,20-29y,high school,upper class,0.709948019,before 2015,True,True,10000.0,0,0,1,False,Rarely
65+,male,30y+,high school,upper class,0.622244913,after 2015,True,True,8000.0,4,0,4,False,Often
26-39,female,10-19y,high school,poverty,0.414461867,before 2015,True,True,10000.0,3,0,1,False,Rarely
26-39,male,10-19y,high school,working class,0.560413011,before 2015,False,False,12000.0,1,0,0,False,Never
40-64,female,20-29y,none,poverty,0.519454276,before 2015,False,True,10000.0,6,1,1,False,Rarely
16-25,male,0-9y,none,poverty,0.373409935,before 2015,False,True,9000.0,0,0,0,False,Never
16-25,male,0-9y,high school,middle class,0.644516086,after 2015,False,False,,0,0,0,False,Never
65+,male,10-19y,university,upper class,0.512299237,after 2015,True,True,8000.0,3,0,2,False,Rarely
16-25,male,0-9y,high school,poverty,0.365176774,before 2015,False,True,7000.0,0,0,0,True,Never
16-25,male,0-9y,none,poverty,,before 2015,True,False,12000.0,0,0,0,True,Never
16-25,female,0-9y,high school,poverty,0.132881119,before 2015,False,False,11000.0,0,0,0,True,Never
26-39,female,10-19y,university,middle class,0.583363216,after 2015,False,False,9000.0,3,0,1,False,Rarely
16-25,female,0-9y,high school,poverty,0.503924515,before 2015,False,False,13000.0,0,0,0,True,Never
16-25,female,0-9y,high school,upper class,0.733517355,after 2015,False,False,16000.0,0,0,0,False,Never
65+,female,0-9y,high school,upper class,0.708900177,after 2015,False,True,11000.0,0,0,0,False,Never
26-39,male,0-9y,university,upper class,0.638453759,after 2015,True,True,7000.0,0,0,0,False,Never
16-25,male,0-9y,none,poverty,0.2992844,before 2015,False,True,13000.0,0,0,0,True,Never
16-25,male,0-9y,none,poverty,0.255004745,before 2015,False,True,10000.0,0,0,0,True,Never
65+,female,30y+,university,upper class,0.59827964,before 2015,True,True,9000.0,10,1,5,False,Often
16-25,female,0-9y,none,poverty,0.341275583,before 2015,False,True,12000.0,0,0,0,True,Never
40-64,female,10-19y,high school,upper class,0.576642461,after 2015,False,True,13000.0,1,0,0,False,Never
16-25,male,0-9y,none,poverty,,before 2015,False,True,15000.0,0,0,0,True,Never
16-25,female,0-9y,none,poverty,0.358401414,before 2015,False,False,16000.0,0,0,0,True,Never
26-39,male,10-19y,high school,working class,0.429465354,before 2015,True,False,12000.0,3,0,3,True,Often
40-64,male,0-9y,university,upper class,0.593342529,before 2015,True,True,11000.0,0,0,0,True,Never
40-64,male,10-19y,high school,middle class,0.469297656,before 2015,True,True,8000.0,2,0,0,False,Never
65+,male,20-29y,high school,middle class,0.507509103,before 2015,False,False,14000.0,4,1,6,False,Often
40-64,male,20-29y,university,upper class,0.674187367,before 2015,True,True,7000.0,1,0,1,False,Rarely
40-64,male,20-29y,high school,upper class,0.630571688,after 2015,True,True,10000.0,4,1,4,True,Often
40-64,female,0-9y,university,upper class,0.641252644,before 2015,False,True,10000.0,0,0,0,False,Never
16-25,male,0-9y,university,working class,0.333394133,before 2015,False,False,15000.0,0,0,0,False,Never
26-39,male,10-19y,university,upper class,0.622872446,after 2015,True,True,11000.0,4,0,0,False,Never
65+,female,30y+,high school,upper class,0.642813327,after 2015,True,False,14000.0,1,0,1,False,Rarely
26-39,female,10-19y,none,poverty,0.513140257,before 2015,False,True,11000.0,2,0,1,False,Rarely
65+,male,30y+,university,upper class,0.609898047,before 2015,True,True,,12,0,5,False,Often
40-64,female,20-29y,university,upper class,0.659526333,after 2015,True,True,7000.0,2,0,0,False,Never
40-64,male,0-9y,high school,upper class,0.703482237,after 2015,True,True,8000.0,0,0,0,False,Never
26-39,male,0-9y,high school,middle class,0.470180282,after 2015,False,True,13000.0,0,0,0,True,Never
16-25,female,0-9y,university,poverty,0.520760374,before 2015,True,True,,0,0,0,True,Never
